Time,symbol,Close,Open,High,Low,Volume
2015-01-05 07:00:00,VNINDEX,544.45,545.43,549.22,543.78,91834620
2015-01-06 07:00:00,VNINDEX,549.66,539.08,550.11,538.82,94081890
2015-01-07 07:00:00,VNINDEX,552.05,548.44,555.83,548.44,109445780
2015-01-08 07:00:00,VNINDEX,553.47,553.49,556.8,552.15,73883040
2015-01-09 07:00:00,VNINDEX,569.73,555.53,570.52,555.53,104203680
2015-01-12 07:00:00,VNINDEX,574.32,575.86,579.73,574.07,123328210
2015-01-13 07:00:00,VNINDEX,580.6,573.26,580.65,573.26,93250940
2015-01-14 07:00:00,VNINDEX,577.01,579.77,582.21,571.67,105588770
2015-01-15 07:00:00,VNINDEX,577.74,577.01,581.24,575.36,111809300
2015-01-16 07:00:00,VNINDEX,574.81,576.88,578.51,574.08,103715770
2015-01-19 07:00:00,VNINDEX,571.51,576.5,579.06,570.1,85869950
2015-01-20 07:00:00,VNINDEX,572.22,570.78,574.96,570.14,72955320
2015-01-21 07:00:00,VNINDEX,569.12,573.54,574.41,569.12,75650990
2015-01-22 07:00:00,VNINDEX,574.54,569.74,576.48,567.82,77924420
2015-01-23 07:00:00,VNINDEX,582.38,578.22,583.57,577.57,116961120
2015-01-26 07:00:00,VNINDEX,580.64,584.89,586.76,580.64,92614650
2015-01-27 07:00:00,VNINDEX,579.3,580.45,584.28,575.5,138720400
2015-01-28 07:00:00,VNINDEX,583.76,579.56,584.35,578.59,107451330
2015-01-29 07:00:00,VNINDEX,583.28,584.18,585.66,580.37,93424200
2015-01-30 07:00:00,VNINDEX,576.07,584.08,584.08,574.46,97717870
2015-02-02 07:00:00,VNINDEX,570.37,576.07,579.73,570.37,66840420
2015-02-03 07:00:00,VNINDEX,557.47,572.56,574.83,557.47,93996200
2015-02-04 07:00:00,VNINDEX,561.45,556.93,561.69,553.21,90940000
2015-02-05 07:00:00,VNINDEX,567.17,562.17,568.22,562.05,69467520
2015-02-06 07:00:00,VNINDEX,574.13,569.03,574.36,569.03,58140870
2015-02-09 07:00:00,VNINDEX,573.55,574.06,577.04,572.79,62712850
2015-02-10 07:00:00,VNINDEX,574.52,575.74,578.42,574.24,61234350
2015-02-11 07:00:00,VNINDEX,581.76,574.88,581.76,574.88,70560970
2015-02-12 07:00:00,VNINDEX,584.67,582.52,584.99,581.86,79108960
2015-02-13 07:00:00,VNINDEX,587.24,586.26,589.02,585.6,72295080
2015-02-24 07:00:00,VNINDEX,596.95,590.18,596.95,589.74,61107780
2015-02-25 07:00:00,VNINDEX,592.66,596.9,601.55,592.66,96802090
2015-02-26 07:00:00,VNINDEX,596.72,593.95,597.07,591.78,84963550
2015-02-27 07:00:00,VNINDEX,592.57,598.0,598.4,590.58,76140470
2015-03-02 07:00:00,VNINDEX,590.73,591.75,593.72,588.59,76507740
2015-03-03 07:00:00,VNINDEX,596.72,590.42,597.45,590.42,108805820
2015-03-04 07:00:00,VNINDEX,600.39,598.49,600.69,595.34,115632610
2015-03-05 07:00:00,VNINDEX,596.91,601.08,602.4,596.75,121956230
2015-03-06 07:00:00,VNINDEX,593.97,596.42,598.33,592.71,96217780
2015-03-09 07:00:00,VNINDEX,588.44,594.08,596.32,587.27,90927440
2015-03-10 07:00:00,VNINDEX,589.66,586.38,591.17,586.38,93334410
2015-03-11 07:00:00,VNINDEX,586.54,589.04,590.56,586.49,79076070
